Key,English,Filipino
PROPCTRL_TXT_000390,Common Wooden Barrel Pile 6,Karaniwang Bunton ng Kahoy na Bariles 6
PROPCTRL_TXT_000391,Common Wooden Barrel Pile 7,Karaniwang Bunton ng Kahoy na Bariles 7
PROPCTRL_TXT_000392,Common Wooden Barrel Pile 8,Karaniwang Bunton ng Kahoy na Bariles 8
PROPCTRL_TXT_000393,Common Wooden Barrel Pile 9,Karaniwang Bunton ng Kahoy na Bariles 9
PROPCTRL_TXT_000394,Common Wooden Barrel Pile 10,Karaniwang Bunton ng Kahoy na Bariles 10
PROPCTRL_TXT_000395,Common Flowers 2,Karaniwang Bulaklak 2
PROPCTRL_TXT_000396,Common Flowers 3,Karaniwang Bulaklak 3
PROPCTRL_TXT_000397,Common Flowers 4,Karaniwang Bulaklak 4
PROPCTRL_TXT_000398,Common Flowers 5,Karaniwang Bulaklak 5
PROPCTRL_TXT_000399,Common Flowers 6,Karaniwang Bulaklak 6
PROPCTRL_TXT_000400,Common Flowers 7,Karaniwang Bulaklak 7
PROPCTRL_TXT_000401,Common Flowers 8,Karaniwang Bulaklak 8
PROPCTRL_TXT_000402,Common Grass 2,Karaniwang Damo 2
PROPCTRL_TXT_000403,Common Grass 3,Karaniwang Damo 3
PROPCTRL_TXT_000404,Common Grass 4,Karaniwang Damo 4
PROPCTRL_TXT_000405,Common Grass 5,Karaniwang Damo 5
PROPCTRL_TXT_000406,Common Grass 6,Karaniwang Damo 6
PROPCTRL_TXT_000407,Common Grass 7,Karaniwang Damo 7
PROPCTRL_TXT_000408,Common Grass 8,Karaniwang Damo 8
PROPCTRL_TXT_000409,Common Grass 9,Karaniwang Damo 9
PROPCTRL_TXT_000410,Common Grass 10,Karaniwang Damo 10
PROPCTRL_TXT_000411,Common Grass 11,Karaniwang Damo 11
PROPCTRL_TXT_000412,Common Grass 12,Karaniwang Damo 12
PROPCTRL_TXT_000413,Common Grass 13,Karaniwang Damo 13
PROPCTRL_TXT_000414,Common Mushroom 2,Karaniwang Kabute 2
PROPCTRL_TXT_000415,Common Mushroom 3,Karaniwang Kabute 3
PROPCTRL_TXT_000416,Common Mushroom 4,Karaniwang Kabute 4
PROPCTRL_TXT_000417,Common Rock 2,Karaniwang Bato 2
PROPCTRL_TXT_000418,Common Rock 3,Karaniwang Bato 3
PROPCTRL_TXT_000419,Common Rock 4,Karaniwang Bato 4
PROPCTRL_TXT_000420,Common Rock 5,Karaniwang Bato 5
PROPCTRL_TXT_000421,Common Rock 6,Karaniwang Bato 6
PROPCTRL_TXT_000422,Common Rock 7,Karaniwang Bato 7
PROPCTRL_TXT_000423,Common Rock 8,Karaniwang Bato 8
PROPCTRL_TXT_000424,Common Rock 9,Karaniwang Bato 9
PROPCTRL_TXT_000425,Common Rock 10,Karaniwang Bato 10
PROPCTRL_TXT_000426,St Morning Rock Arch 2,St Morning Rock Arch 2
PROPCTRL_TXT_000427,St Morning Rock Arch 3,St Morning Rock Arch 3
PROPCTRL_TXT_000428,St Morning Flag 2,St Morning Bandila 2
PROPCTRL_TXT_000429,St Morning Flag 3,St Morning Bandila 3
PROPCTRL_TXT_000430,St Morning Flag 4,St Morning Bandila 4
PROPCTRL_TXT_000431,St Morning Flag 5,St Morning Bandila 5
PROPCTRL_TXT_000432,St Morning Rock 2,St Morning Bato 2
PROPCTRL_TXT_000433,St Morning Rock 3,St Morning Bato 3
PROPCTRL_TXT_000434,St Morning Rock 4,St Morning Bato 4
PROPCTRL_TXT_000435,St Morning Rock 5,St Morning Bato 5
PROPCTRL_TXT_000436,St Morning Rock 6,St Morning Bato 6
PROPCTRL_TXT_000437,St Morning Rock 7,St Morning Bato 7
PROPCTRL_TXT_000438,St Morning Rock 8,St Morning Bato 8
PROPCTRL_TXT_000439,St Morning Rock 9,St Morning Bato 9
PROPCTRL_TXT_000440,St Morning Rock 10,St Morning Bato 10
PROPCTRL_TXT_000441,St Morning Rock 11,St Morning Bato 11
PROPCTRL_TXT_000442,St Morning Rock 12,St Morning Bato 12
PROPCTRL_TXT_000443,St Morning Rock 13,St Morning Bato 13
PROPCTRL_TXT_000444,St Morning Rock 14,St Morning Bato 14
PROPCTRL_TXT_000445,St Morning Rock 15,St Morning Bato 15
PROPCTRL_TXT_000446,St Morning Light 2,St Morning Ilaw 2
PROPCTRL_TXT_000447,Darkon Wagon 2,Darkon Kariton 2
PROPCTRL_TXT_000448,Darkon Wagon 3,Darkon Kariton 3
PROPCTRL_TXT_000449,Darkon Wagon 4,Darkon Kariton 4
PROPCTRL_TXT_000450,Darkon Wagon 5,Darkon Kariton 5
PROPCTRL_TXT_000451,Darkon Sign 2,Darkon Sign 2
PROPCTRL_TXT_000452,Darkon Sign 3,Darkon Sign 3
PROPCTRL_TXT_000453,Darkon Sign 4,Darkon Sign 4
PROPCTRL_TXT_000454,Darkon Sign 5,Darkon Sign 5
PROPCTRL_TXT_000455,Darkon Sign 6,Darkon Sign 6
PROPCTRL_TXT_000456,Darkon Sign 7,Darkon Sign 7
PROPCTRL_TXT_000457,Darkon Big Box 2,Darkon Malaking Kahon 2
PROPCTRL_TXT_000458,Darkon Big Box 3,Darkon Malaking Kahon 3
PROPCTRL_TXT_000459,Darkon Big Box 4,Darkon Malaking Kahon 4
PROPCTRL_TXT_000460,Darkon Big Box 5,Darkon Malaking Kahon 5
PROPCTRL_TXT_000461,Darkon Brown Rock 2,Darkon Kayumangging Bato 2
PROPCTRL_TXT_000462,Darkon Brown Rock 3,Darkon Kayumangging Bato 3
PROPCTRL_TXT_000463,Darkon Brown Rock 4,Darkon Kayumangging Bato 4
PROPCTRL_TXT_000464,Darkon Brown Rock 5,Darkon Kayumangging Bato 5
PROPCTRL_TXT_000465,Darkon Brown Rock 6,Darkon Kayumangging Bato 6
PROPCTRL_TXT_000466,Darkon Brown Rock 7,Darkon Kayumangging Bato 7
PROPCTRL_TXT_000467,Darkon Barrel 2,Darkon Bariles 2
PROPCTRL_TXT_000468,Darkon Light 2,Darkon Ilaw 2
PROPCTRL_TXT_000469,Darkon Light 3,Darkon Ilaw 3
PROPCTRL_TXT_000470,Darkon Light 4,Darkon Ilaw 4
PROPCTRL_TXT_000471,Darkon Light 5,Darkon Ilaw 5
PROPCTRL_TXT_000472,Darkon Light 6,Darkon Ilaw 6
PROPCTRL_TXT_000473,Darkon Mushroom 2,Darkon Kabute 2
PROPCTRL_TXT_000474,Darkon Mushroom 3,Darkon Kabute 3
PROPCTRL_TXT_000475,Darkon Mushroom 4,Darkon Kabute 4
PROPCTRL_TXT_000476,Darkon Mushroom 5,Darkon Kabute 5
PROPCTRL_TXT_000477,Darkon Tree 2,Darkon Puno 2
PROPCTRL_TXT_000478,Darkon Tree 3,Darkon Puno 3
PROPCTRL_TXT_000479,Darkon Tree 4,Darkon Puno 4
PROPCTRL_TXT_000480,Darkon Tree 5,Darkon Puno 5
PROPCTRL_TXT_000481,Darkon Tree 6,Darkon Puno 6
PROPCTRL_TXT_000482,Darkon Tree 7,Darkon Puno 7
PROPCTRL_TXT_000483,Darkon Tree 8,Darkon Puno 8
PROPCTRL_TXT_000484,Darkon Tree 9,Darkon Puno 9
PROPCTRL_TXT_000485,Azria Plant 2,Azria Halaman 2
PROPCTRL_TXT_000486,Azria Plant 3,Azria Halaman 3
PROPCTRL_TXT_000487,Azria Plant 4,Azria Halaman 4
PROPCTRL_TXT_000488,Azria Plant 5,Azria Halaman 5
PROPCTRL_TXT_000489,Azria Tree 2,Azria Puno 2
PROPCTRL_TXT_000490,Azria Tree 3,Azria Puno 3
PROPCTRL_TXT_000491,Azria Tree 4,Azria Puno 4
PROPCTRL_TXT_000492,Azria Tree 5,Azria Puno 5
PROPCTRL_TXT_000493,Azria Tree 6,Azria Puno 6
PROPCTRL_TXT_000494,Azria Tree 7,Azria Puno 7
PROPCTRL_TXT_000495,Azria Tree 8,Azria Puno 8
PROPCTRL_TXT_000496,Azria Tree 9,Azria Puno 9
PROPCTRL_TXT_000497,Azria Tree 10,Azria Puno 10
PROPCTRL_TXT_000498,Azria Tree 11,Azria Puno 11
PROPCTRL_TXT_000499,Azria Tree 12,Azria Puno 12
PROPCTRL_TXT_000500,Azria Tree 13,Azria Puno 13
PROPCTRL_TXT_000501,Azria Tree 14,Azria Puno 14
PROPCTRL_TXT_000502,Azria Tree 15,Azria Puno 15
PROPCTRL_TXT_000503,Azria Tree 16,Azria Puno 16
PROPCTRL_TXT_000504,Azria Tree 17,Azria Puno 17
PROPCTRL_TXT_000505,Azria Tree 18,Azria Puno 18
PROPCTRL_TXT_000506,Azria Tree 19,Azria Puno 19
PROPCTRL_TXT_000507,Azria Tree 20,Azria Puno 20
PROPCTRL_TXT_000508,Azria Tree 21,Azria Puno 21
PROPCTRL_TXT_000509,Azria Light 2,Azria Ilaw 2
PROPCTRL_TXT_000510,Azria Light 3,Azria Ilaw 3
PROPCTRL_TXT_000511,Azria Rock 2,Azria Bato 2
PROPCTRL_TXT_000512,Azria Rock 3,Azria Bato 3
PROPCTRL_TXT_000513,Azria Rock 4,Azria Bato 4
PROPCTRL_TXT_000514,Azria Rock 5,Azria Bato 5
PROPCTRL_TXT_000515,Azria Rock 6,Azria Bato 6
PROPCTRL_TXT_000516,Azria Rock 7,Azria Bato 7
PROPCTRL_TXT_000517,Azria Rock 8,Azria Bato 8
PROPCTRL_TXT_000518,Azria Rock 9,Azria Bato 9
PROPCTRL_TXT_000519,Azria Rock 10,Azria Bato 10
PROPCTRL_TXT_000520,Azria Rock 11,Azria Bato 11
PROPCTRL_TXT_000521,Azria Rock 12,Azria Bato 12
PROPCTRL_TXT_000522,Azria Rock 13,Azria Bato 13
PROPCTRL_TXT_000523,Azria Mushroom 2,Azria Kabute 2
PROPCTRL_TXT_000524,Azria Mushroom 3,Azria Kabute 3
PROPCTRL_TXT_000525,Azria Mushroom 4,Azria Kabute 4
PROPCTRL_TXT_000526,Azria Grass 2,Azria Damo 2
PROPCTRL_TXT_000527,Azria Grass 3,Azria Damo 3
PROPCTRL_TXT_000528,Azria Sign 2,Azria Sign 2
PROPCTRL_TXT_000529,Azria Sign 3,Azria Sign 3
PROPCTRL_TXT_000530,Azria Sign 4,Azria Sign 4
PROPCTRL_TXT_000531,Azria Box 2,Azria Kahon 2
PROPCTRL_TXT_000532,Coral Island Tree 2,Puno ng Coral Island 2
PROPCTRL_TXT_000533,Coral Island Shellfish 2,Kabibe ng Coral Island 2
PROPCTRL_TXT_000534,Coral Island Shellfish 3,Kabibe ng Coral Island 3
PROPCTRL_TXT_000535,Coral Island Shellfish 4,Kabibe ng Coral Island 4
PROPCTRL_TXT_000536,Coral Island Shellfish 5,Kabibe ng Coral Island 5
PROPCTRL_TXT_000537,Coral Island Shellfish 6,Kabibe ng Coral Island 6
PROPCTRL_TXT_000538,Coral Island Shellfish 7,Kabibe ng Coral Island 7
PROPCTRL_TXT_000539,Coral Island Shellfish 8,Kabibe ng Coral Island 8
PROPCTRL_TXT_000540,Coral Island Shellfish 9,Kabibe ng Coral Island 9
PROPCTRL_TXT_000541,Coral Island Coral 2,Coral ng Coral Island 2
PROPCTRL_TXT_000542,Coral Island Coral 3,Coral ng Coral Island 3
PROPCTRL_TXT_000543,Coral Island Coral 4,Coral ng Coral Island 4
PROPCTRL_TXT_000544,Coral Island Coral 5,Coral ng Coral Island 5
PROPCTRL_TXT_000545,Coral Island Coral 6,Coral ng Coral Island 6
PROPCTRL_TXT_000546,Coral Island Coral 7,Coral ng Coral Island 7
PROPCTRL_TXT_000547,Coral Island Coral 8,Coral ng Coral Island 8
PROPCTRL_TXT_000548,Coral Island Coral 9,Coral ng Coral Island 9
PROPCTRL_TXT_000549,Coral Island Coral 10,Coral ng Coral Island 10
PROPCTRL_TXT_000550,Coral Island Coral 11,Coral ng Coral Island 11
PROPCTRL_TXT_000551,Coral Island Coral 12,Coral ng Coral Island 12
PROPCTRL_TXT_000552,Coral Island Starfish 2,Starfish ng Coral Island 2
PROPCTRL_TXT_000553,Coral Island Starfish 3,Starfish ng Coral Island 3
PROPCTRL_TXT_000554,Coral Island Table 2,Mesa ng Coral Island 2
PROPCTRL_TXT_000555,Flaris Pot 2,Flaris Paso 2
PROPCTRL_TXT_000556,Flaris Fence 2,Bakod ng Flaris 2
PROPCTRL_TXT_000557,Flaris Fence 3,Bakod ng Flaris 3
PROPCTRL_TXT_000558,Flaris Fence 4,Bakod ng Flaris 4
PROPCTRL_TXT_000559,Flaris Fence 5,Bakod ng Flaris 5
PROPCTRL_TXT_000560,Flaris Fence 6,Bakod ng Flaris 6
PROPCTRL_TXT_000561,1st Anniversary Flaris Cake,1st Anniversary Cake ng Flaris
PROPCTRL_TXT_000562,1st Anniversary Saint Morning Cake,1st Anniversary Cake ng Saint Morning
PROPCTRL_TXT_000563,1st Anniversary Darkon Cake,1st Anniversary Cake ng Darkon
PROPCTRL_TXT_000564,2nd Anniversary Flaris Cake,2nd Anniversary Cake ng Flaris
PROPCTRL_TXT_000565,2nd Anniversary Saint Morning Cake,2nd Anniversary Cake ng Saint Morning
PROPCTRL_TXT_000566,2nd Anniversary Darkon Cake,2nd Anniversary Cake ng Darkon
PROPCTRL_TXT_000567,2nd Anniversary Presents 1,2nd Anniversary Regalo 1
PROPCTRL_TXT_000568,2nd Anniversary Presents 2,2nd Anniversary Regalo 2
PROPCTRL_TXT_000569,2nd Anniversary Arch 1,2nd Anniversary Arch 1
PROPCTRL_TXT_000570,Luxury Chandelier,Mahal na Kandil
PROPCTRL_TXT_000571,Luxury Table,Mahal na Mesa
PROPCTRL_TXT_000572,Luxury Dressing Table,Mahal na Dressing Table
PROPCTRL_TXT_000573,Luxury Wardrobe,Mahal na Wardrobe
PROPCTRL_TXT_000574,Luxury Bookcase,Mahal na Bookcase
PROPCTRL_TXT_000575,Luxury Sofa,Mahal na Sofa
PROPCTRL_TXT_000576,Luxury Armchair,Mahal na Armchair
PROPCTRL_TXT_000577,Luxury Chair,Mahal na Upuan
PROPCTRL_TXT_000578,Luxury Bed,Mahal na Kama
PROPCTRL_TXT_000579,Ordinary Herb,Ordinaryong Halaman
PROPCTRL_TXT_000580,Regular Herb,Karaniwang Halaman
PROPCTRL_TXT_000581,Unique Herb,Natanging Halaman
PROPCTRL_TXT_000582,Rare Herb,Bihirang Halaman
PROPCTRL_TXT_000583,Legendary Herb,Alamat na Halaman
PROPCTRL_TXT_000584,Ordinary Tree,Ordinaryong Puno
PROPCTRL_TXT_000585,Regular Tree,Karaniwang Puno
PROPCTRL_TXT_000586,Unique Tree,Natanging Puno
PROPCTRL_TXT_000587,Rare Tree,Bihirang Puno
PROPCTRL_TXT_000588,Legendary Tree,Alamat na Puno
PROPCTRL_TXT_000589,Ordinary Ore,Ordinaryong Ore
PROPCTRL_TXT_000590,Regular Ore,Karaniwang Ore
PROPCTRL_TXT_000591,Unique Ore,Natanging Ore
PROPCTRL_TXT_000592,Rare Ore,Bihirang Ore
PROPCTRL_TXT_000593,Legendary Ore,Alamat na Ore
PROPCTRL_TXT_000594,Alchemy Desk,Alchemy Desk
PROPCTRL_TXT_000595,Hearth,Hearth
PROPCTRL_TXT_000596,Carpentry Workspace,Carpentry Workspace
PROPCTRL_TXT_000597,Smithing Workspace,Smithing Workspace
PROPCTRL_TXT_000598,Halloween Pumpkin,Halloween Pumpkin
PROPCTRL_TXT_000599,Message Sign,Message Sign
PROPCTRL_TXT_000600,Medieval Bed,Medieval na Kama
PROPCTRL_TXT_000601,Medieval Sofa,Medieval na Sofa
PROPCTRL_TXT_000602,Medieval Armchair,Medieval na Armchair
PROPCTRL_TXT_000603,Medieval Bookcase,Medieval na Bookcase
PROPCTRL_TXT_000604,Medieval Wardrobe,Medieval na Wardrobe
PROPCTRL_TXT_000605,Medieval Table,Medieval na Mesa
PROPCTRL_TXT_000606,Medieval Chair,Medieval na Upuan
PROPCTRL_TXT_000607,Medieval Floor Lamp,Medieval na Floor Lamp
PROPCTRL_TXT_000608,Medieval Drawer,Medieval na Drawer
PROPCTRL_TXT_000609,Halloween 2024 Bed,Halloween 2024 na Kama
PROPCTRL_TXT_000610,Halloween 2024 Sofa,Halloween 2024 na Sofa
PROPCTRL_TXT_000611,Halloween 2024 Armchair,Halloween 2024 na Armchair
PROPCTRL_TXT_000612,Halloween 2024 Bookcase,Halloween 2024 na Bookcase
PROPCTRL_TXT_000613,Halloween 2024 Wardrobe,Halloween 2024 na Wardrobe
PROPCTRL_TXT_000614,Halloween 2024 Table,Halloween 2024 na Mesa
PROPCTRL_TXT_000615,Halloween 2024 Chair,Halloween 2024 na Upuan
PROPCTRL_TXT_000616,Halloween 2024 Lantern,Halloween 2024 na Lantern
PROPCTRL_TXT_000617,Halloween 2024 Drawer,Halloween 2024 na Drawer
PROPCTRL_TXT_000618,Flaris House 1,Bahay ng Flaris 1
PROPCTRL_TXT_000619,Flaris House 2,Bahay ng Flaris 2
PROPCTRL_TXT_000620,Flaris House 3,Bahay ng Flaris 3
PROPCTRL_TXT_000621,Flaris House 4,Bahay ng Flaris 4
PROPCTRL_TXT_000622,Flaris House 5,Bahay ng Flaris 5
PROPCTRL_TXT_000623,Flaris House 6,Bahay ng Flaris 6
PROPCTRL_TXT_000624,Flaris House 7,Bahay ng Flaris 7
PROPCTRL_TXT_000625,Flaris House 8,Bahay ng Flaris 8
PROPCTRL_TXT_000626,Flaris House 9,Bahay ng Flaris 9
PROPCTRL_TXT_000627,Flaris House 10,Bahay ng Flaris 10
PROPCTRL_TXT_000628,Saint Morning House 1,Bahay ng Saint Morning 1
PROPCTRL_TXT_000629,Saint Morning House 2,Bahay ng Saint Morning 2
PROPCTRL_TXT_000630,Saint Morning House 3,Bahay ng Saint Morning 3
PROPCTRL_TXT_000631,Saint Morning House 4,Bahay ng Saint Morning 4
PROPCTRL_TXT_000632,Saint Morning House 5,Bahay ng Saint Morning 5
PROPCTRL_TXT_000633,Saint Morning House 6,Bahay ng Saint Morning 6
PROPCTRL_TXT_000634,Saint Morning House 7,Bahay ng Saint Morning 7
PROPCTRL_TXT_000635,Saint Morning House 8,Bahay ng Saint Morning 8
PROPCTRL_TXT_000636,Saint Morning House 9,Bahay ng Saint Morning 9
PROPCTRL_TXT_000637,Saint Morning House 10,Bahay ng Saint Morning 10
PROPCTRL_TXT_000638,Saint Morning House 11,Bahay ng Saint Morning 11
PROPCTRL_TXT_000639,Pumpkin Town House 1,Bahay ng Pumpkin Town 1
PROPCTRL_TXT_000640,Pumpkin Town House 2,Bahay ng Pumpkin Town 2
PROPCTRL_TXT_000641,Pumpkin Town House 3,Bahay ng Pumpkin Town 3
PROPCTRL_TXT_000642,Darkon House 1,Bahay ng Darkon 1
PROPCTRL_TXT_000643,Darkon House 2,Bahay ng Darkon 2
PROPCTRL_TXT_000644,Darkon House 3,Bahay ng Darkon 3
PROPCTRL_TXT_000645,Darkon House 4,Bahay ng Darkon 4
PROPCTRL_TXT_000646,Darkon House 5,Bahay ng Darkon 5
PROPCTRL_TXT_000647,Azria House 1,Bahay ng Azria 1
PROPCTRL_TXT_000648,Azria House 2,Bahay ng Azria 2
PROPCTRL_TXT_000649,Azria House 3,Bahay ng Azria 3
PROPCTRL_TXT_000650,Azria House 4,Bahay ng Azria 4
PROPCTRL_TXT_000651,Flaris Street Lamp,Street Lamp ng Flaris
PROPCTRL_TXT_000652,Flaris Tent 1,Tent ng Flaris 1
PROPCTRL_TXT_000653,Madrigal Floating Sign 1,Lumulutang na Sign ng Madrigal 1
PROPCTRL_TXT_000654,Madrigal Floating Sign 2,Lumulutang na Sign ng Madrigal 2
PROPCTRL_TXT_000655,Madrigal No-fly Sign,No-fly Sign ng Madrigal
PROPCTRL_TXT_000656,Madrigal Floating Ring,Lumulutang na Ring ng Madrigal
PROPCTRL_TXT_000657,Flaris Box and cover,Kahon at Takip ng Flaris
PROPCTRL_TXT_000658,Magic Crystal Object,Magic Crystal Object
PROPCTRL_TXT_000659,Flaris Tent 2,Tent ng Flaris 2
PROPCTRL_TXT_000662,Flaris Carriage,Carriage ng Flaris
PROPCTRL_TXT_000663,Flaris Torch,Torch ng Flaris
PROPCTRL_TXT_000664,Flaris Floating Island,Lumulutang na Isla ng Flaris
PROPCTRL_TXT_000665,Saint Morning Lighthouse,Parola ng Saint Morning
PROPCTRL_TXT_000666,Saint Morning Crane,Crane ng Saint Morning
PROPCTRL_TXT_000667,Saint Morning Campfire,Campfire ng Saint Morning
PROPCTRL_TXT_000668,Saint Morning Palm Tree,Palm Tree ng Saint Morning
PROPCTRL_TXT_000669,Saint Morning Pumpkin Fence,Pumpkin Fence ng Saint Morning
PROPCTRL_TXT_000670,Saint Morning Scarecrow,Scarecrow ng Saint Morning
PROPCTRL_TXT_000672,Saint Morning Cactus 1,Cactus ng Saint Morning 1
PROPCTRL_TXT_000673,Saint Morning Cactus 2,Cactus ng Saint Morning 2
PROPCTRL_TXT_000674,Saint Morning Cactus 3,Cactus ng Saint Morning 3
PROPCTRL_TXT_000675,Rhisis Stone Pillar 1,Stone Pillar ng Rhisis 1
PROPCTRL_TXT_000676,Rhisis Stone Pillar 2,Stone Pillar ng Rhisis 2
PROPCTRL_TXT_000677,Rhisis Broken Temple,Sirang Templo ng Rhisis
PROPCTRL_TXT_000678,Darkon Steel Frame 1,Steel Frame ng Darkon 1
PROPCTRL_TXT_000679,Darkon Steel Frame 2,Steel Frame ng Darkon 2
PROPCTRL_TXT_000680,Darkon Structure,Estruktura ng Darkon
PROPCTRL_TXT_000681,Darkon Water Tank,Water Tank ng Darkon
PROPCTRL_TXT_000682,Darkon Large crane,Malaking Crane ng Darkon
PROPCTRL_TXT_000683,Darkon Dirt pile,Dumi Pile ng Darkon
PROPCTRL_TXT_000684,Darkon Shack,Shack ng Darkon
PROPCTRL_TXT_000685,Darkon Market,Pamilihan ng Darkon
PROPCTRL_TXT_000686,Darkon Tree Bark,Bark ng Puno ng Darkon
PROPCTRL_TXT_000687,Darkon Fossil,Fossil ng Darkon
PROPCTRL_TXT_000688,Darkon Large Fossil,Malaking Fossil ng Darkon
PROPCTRL_TXT_000689,Guardiane Structure,Estruktura ng Guardiane
PROPCTRL_TXT_000690,Guardiane Platform,Platform ng Guardiane
PROPCTRL_TXT_000691,Azria Ground Window,Ground Window ng Azria
PROPCTRL_TXT_000692,Azria Large Crane,Malaking Crane ng Azria
PROPCTRL_TXT_000693,Azria Water Tank,Water Tank ng Azria
PROPCTRL_TXT_000694,Azria Arch,Arch ng Azria
PROPCTRL_TXT_000695,Azria Stone Pile,Stone Pile ng Azria
PROPCTRL_TXT_000696,Azria Stone Pillar,Stone Pillar ng Azria
PROPCTRL_TXT_000697,Azria Stone Tower,Stone Tower ng Azria
PROPCTRL_TXT_000698,Coral Island Wrecked Ship Part,Wrecked Ship Part ng Coral Island
PROPCTRL_TXT_000699,Coral Island Wrecked Ship,Wrecked Ship ng Coral Island
PROPCTRL_TXT_000700,Coral Island Sea Weed 1,Sea Weed ng Coral Island 1
PROPCTRL_TXT_000701,Coral Island Sea Weed 2,Sea Weed ng Coral Island 2
PROPCTRL_TXT_000702,Coral Island Sea Weed 3,Sea Weed ng Coral Island 3
PROPCTRL_TXT_000703,Coral Island Coral Plateform,Coral Platform ng Coral Island
PROPCTRL_TXT_000704,Coral Island Coral 13,Coral ng Coral Island 13
PROPCTRL_TXT_000705,Coral Island Coral 14,Coral ng Coral Island 14
PROPCTRL_TXT_000706,Coral Island Coral 15,Coral ng Coral Island 15
PROPCTRL_TXT_000707,Coral Island Coral 16,Coral ng Coral Island 16
PROPCTRL_TXT_000708,Coral Island Campfire,Campfire ng Coral Island
PROPCTRL_TXT_000709,Saint Morning Wall Pillar,Wall Pillar ng Saint Morning
PROPCTRL_TXT_000710,Neon Valentines Black Lamp,Neon Valentines Itim na Lamp
PROPCTRL_TXT_000711,Neon Valentines Black Desk,Neon Valentines Itim na Desk
PROPCTRL_TXT_000712,Neon Valentines Black Drawer,Neon Valentines Itim na Drawer
PROPCTRL_TXT_000713,Neon Valentines Black Dresser,Neon Valentines Itim na Dresser
PROPCTRL_TXT_000714,Neon Valentines Black Bookshelf,Neon Valentines Itim na Bookshelf
PROPCTRL_TXT_000715,Neon Valentines Black Chair,Neon Valentines Itim na Upuan
PROPCTRL_TXT_000716,Neon Valentines Black Bath,Neon Valentines Itim na Bath
PROPCTRL_TXT_000717,Neon Valentines Black Bed,Neon Valentines Itim na Kama
PROPCTRL_TXT_000718,Neon Valentines Black Sofa,Neon Valentines Itim na Sofa
PROPCTRL_TXT_000719,Neon Valentines White Lamp,Neon Valentines Puti na Lamp
PROPCTRL_TXT_000720,Neon Valentines White Desk,Neon Valentines Puti na Desk
PROPCTRL_TXT_000721,Neon Valentines White Drawer,Neon Valentines Puti na Drawer
PROPCTRL_TXT_000722,Neon Valentines White Dresser,Neon Valentines Puti na Dresser
PROPCTRL_TXT_000723,Neon Valentines White Bookshelf,Neon Valentines Puti na Bookshelf
PROPCTRL_TXT_000724,Neon Valentines White Chair,Neon Valentines Puti na Upuan
PROPCTRL_TXT_000725,Neon Valentines White Bath,Neon Valentines Puti na Bath
PROPCTRL_TXT_000726,Neon Valentines White Bed,Neon Valentines Puti na Kama
PROPCTRL_TXT_000727,Neon Valentines White Sofa,Neon Valentines Puti na Sofa
PROPCTRL_TXT_000728,Pastel Bed,Pastel na Kama
PROPCTRL_TXT_000729,Pastel Sofa,Pastel na Sofa
PROPCTRL_TXT_000730,Pastel Stool,Pastel na Upuan
PROPCTRL_TXT_000731,Pastel Bookshelf,Pastel na Bookshelf
PROPCTRL_TXT_000732,Pastel Lamp,Pastel na Lamp
PROPCTRL_TXT_000733,Pastel Desk,Pastel na Desk
PROPCTRL_TXT_000734,Pastel Chair,Pastel na Upuan
PROPCTRL_TXT_000735,Pastel Nightstand,Pastel na Nightstand
PROPCTRL_TXT_000736,Pastel Bathtub,Pastel na Bathtub
PROPCTRL_TXT_000737,[Event] Chroma Ore,[Event] Chroma Ore
PROPCTRL_TXT_000738,Statue Base,Base ng Statue
PROPCTRL_TXT_000739,3rd Anniversary Flaris Cake,3rd Anniversary Cake ng Flaris
PROPCTRL_TXT_000740,3rd Anniversary Saint Morning Cake,3rd Anniversary Cake ng Saint Morning
PROPCTRL_TXT_000741,3rd Anniversary Darkon Cake,3rd Anniversary Cake ng Darkon
PROPCTRL_TXT_000742,Dungeon Warp 07,Dungeon Warp 07
