Key,English,German
PROPCTRL_TXT_000403,Common Grass 3,Gewöhnliches Gras 3
PROPCTRL_TXT_000404,Common Grass 4,Gewöhnliches Gras 4
PROPCTRL_TXT_000405,Common Grass 5,Gewöhnliches Gras 5
PROPCTRL_TXT_000406,Common Grass 6,Gewöhnliches Gras 6
PROPCTRL_TXT_000407,Common Grass 7,Gewöhnliches Gras 7
PROPCTRL_TXT_000408,Common Grass 8,Gewöhnliches Gras 8
PROPCTRL_TXT_000409,Common Grass 9,Gewöhnliches Gras 9
PROPCTRL_TXT_000410,Common Grass 10,Gewöhnliches Gras 10
PROPCTRL_TXT_000411,Common Grass 11,Gewöhnliches Gras 11
PROPCTRL_TXT_000412,Common Grass 12,Gewöhnliches Gras 12
PROPCTRL_TXT_000413,Common Grass 13,Gewöhnliches Gras 13
PROPCTRL_TXT_000414,Common Mushroom 2,Gewöhnlicher Pilz 2
PROPCTRL_TXT_000415,Common Mushroom 3,Gewöhnlicher Pilz 3
PROPCTRL_TXT_000416,Common Mushroom 4,Gewöhnlicher Pilz 4
PROPCTRL_TXT_000417,Common Rock 2,Gewöhnlicher Felsen 2
PROPCTRL_TXT_000418,Common Rock 3,Gewöhnlicher Felsen 3
PROPCTRL_TXT_000419,Common Rock 4,Gewöhnlicher Felsen 4
PROPCTRL_TXT_000420,Common Rock 5,Gewöhnlicher Felsen 5
PROPCTRL_TXT_000421,Common Rock 6,Gewöhnlicher Felsen 6
PROPCTRL_TXT_000422,Common Rock 7,Gewöhnlicher Felsen 7
PROPCTRL_TXT_000423,Common Rock 8,Gewöhnlicher Felsen 8
PROPCTRL_TXT_000424,Common Rock 9,Gewöhnlicher Felsen 9
PROPCTRL_TXT_000425,Common Rock 10,Gewöhnlicher Felsen 10
PROPCTRL_TXT_000426,St Morning Rock Arch 2,St Morning Felsbogen 2
PROPCTRL_TXT_000427,St Morning Rock Arch 3,St Morning Felsbogen 3
PROPCTRL_TXT_000428,St Morning Flag 2,St Morning Flagge 2
PROPCTRL_TXT_000429,St Morning Flag 3,St Morning Flagge 3
PROPCTRL_TXT_000430,St Morning Flag 4,St Morning Flagge 4
PROPCTRL_TXT_000431,St Morning Flag 5,St Morning Flagge 5
PROPCTRL_TXT_000432,St Morning Rock 2,St Morning Felsen 2
PROPCTRL_TXT_000433,St Morning Rock 3,St Morning Felsen 3
PROPCTRL_TXT_000434,St Morning Rock 4,St Morning Felsen 4
PROPCTRL_TXT_000435,St Morning Rock 5,St Morning Felsen 5
PROPCTRL_TXT_000436,St Morning Rock 6,St Morning Felsen 6
PROPCTRL_TXT_000437,St Morning Rock 7,St Morning Felsen 7
PROPCTRL_TXT_000438,St Morning Rock 8,St Morning Felsen 8
PROPCTRL_TXT_000439,St Morning Rock 9,St Morning Felsen 9
PROPCTRL_TXT_000440,St Morning Rock 10,St Morning Felsen 10
PROPCTRL_TXT_000441,St Morning Rock 11,St Morning Felsen 11
PROPCTRL_TXT_000442,St Morning Rock 12,St Morning Felsen 12
PROPCTRL_TXT_000443,St Morning Rock 13,St Morning Felsen 13
PROPCTRL_TXT_000444,St Morning Rock 14,St Morning Felsen 14
PROPCTRL_TXT_000445,St Morning Rock 15,St Morning Felsen 15
PROPCTRL_TXT_000446,St Morning Light 2,St Morning Licht 2
PROPCTRL_TXT_000447,Darkon Wagon 2,Darkon Wagen 2
PROPCTRL_TXT_000448,Darkon Wagon 3,Darkon Wagen 3
PROPCTRL_TXT_000449,Darkon Wagon 4,Darkon Wagen 4
PROPCTRL_TXT_000450,Darkon Wagon 5,Darkon Wagen 5
PROPCTRL_TXT_000451,Darkon Sign 2,Darkon Schild 2
PROPCTRL_TXT_000452,Darkon Sign 3,Darkon Schild 3
PROPCTRL_TXT_000453,Darkon Sign 4,Darkon Schild 4
PROPCTRL_TXT_000454,Darkon Sign 5,Darkon Schild 5
PROPCTRL_TXT_000455,Darkon Sign 6,Darkon Schild 6
PROPCTRL_TXT_000456,Darkon Sign 7,Darkon Schild 7
PROPCTRL_TXT_000457,Darkon Big Box 2,Darkon Große Kiste 2
PROPCTRL_TXT_000458,Darkon Big Box 3,Darkon Große Kiste 3
PROPCTRL_TXT_000459,Darkon Big Box 4,Darkon Große Kiste 4
PROPCTRL_TXT_000460,Darkon Big Box 5,Darkon Große Kiste 5
PROPCTRL_TXT_000461,Darkon Brown Rock 2,Darkon Brauner Felsen 2
PROPCTRL_TXT_000462,Darkon Brown Rock 3,Darkon Brauner Felsen 3
PROPCTRL_TXT_000463,Darkon Brown Rock 4,Darkon Brauner Felsen 4
PROPCTRL_TXT_000464,Darkon Brown Rock 5,Darkon Brauner Felsen 5
PROPCTRL_TXT_000465,Darkon Brown Rock 6,Darkon Brauner Felsen 6
PROPCTRL_TXT_000466,Darkon Brown Rock 7,Darkon Brauner Felsen 7
PROPCTRL_TXT_000467,Darkon Barrel 2,Darkon Fass 2
PROPCTRL_TXT_000468,Darkon Light 2,Darkon Licht 2
PROPCTRL_TXT_000469,Darkon Light 3,Darkon Licht 3
PROPCTRL_TXT_000470,Darkon Light 4,Darkon Licht 4
PROPCTRL_TXT_000471,Darkon Light 5,Darkon Licht 5
PROPCTRL_TXT_000472,Darkon Light 6,Darkon Licht 6
PROPCTRL_TXT_000473,Darkon Mushroom 2,Darkon Pilz 2
PROPCTRL_TXT_000474,Darkon Mushroom 3,Darkon Pilz 3
PROPCTRL_TXT_000475,Darkon Mushroom 4,Darkon Pilz 4
PROPCTRL_TXT_000476,Darkon Mushroom 5,Darkon Pilz 5
PROPCTRL_TXT_000477,Darkon Tree 2,Darkon Baum 2
PROPCTRL_TXT_000478,Darkon Tree 3,Darkon Baum 3
PROPCTRL_TXT_000479,Darkon Tree 4,Darkon Baum 4
PROPCTRL_TXT_000480,Darkon Tree 5,Darkon Baum 5
PROPCTRL_TXT_000481,Darkon Tree 6,Darkon Baum 6
PROPCTRL_TXT_000482,Darkon Tree 7,Darkon Baum 7
PROPCTRL_TXT_000483,Darkon Tree 8,Darkon Baum 8
PROPCTRL_TXT_000484,Darkon Tree 9,Darkon Baum 9
PROPCTRL_TXT_000485,Azria Plant 2,Azria Pflanze 2
PROPCTRL_TXT_000486,Azria Plant 3,Azria Pflanze 3
PROPCTRL_TXT_000487,Azria Plant 4,Azria Pflanze 4
PROPCTRL_TXT_000488,Azria Plant 5,Azria Pflanze 5
PROPCTRL_TXT_000489,Azria Tree 2,Azria Baum 2
PROPCTRL_TXT_000490,Azria Tree 3,Azria Baum 3
PROPCTRL_TXT_000491,Azria Tree 4,Azria Baum 4
PROPCTRL_TXT_000492,Azria Tree 5,Azria Baum 5
PROPCTRL_TXT_000493,Azria Tree 6,Azria Baum 6
PROPCTRL_TXT_000494,Azria Tree 7,Azria Baum 7
PROPCTRL_TXT_000495,Azria Tree 8,Azria Baum 8
PROPCTRL_TXT_000496,Azria Tree 9,Azria Baum 9
PROPCTRL_TXT_000497,Azria Tree 10,Azria Baum 10
PROPCTRL_TXT_000498,Azria Tree 11,Azria Baum 11
PROPCTRL_TXT_000499,Azria Tree 12,Azria Baum 12
PROPCTRL_TXT_000500,Azria Tree 13,Azria Baum 13
PROPCTRL_TXT_000501,Azria Tree 14,Azria Baum 14
PROPCTRL_TXT_000502,Azria Tree 15,Azria Baum 15
PROPCTRL_TXT_000503,Azria Tree 16,Azria Baum 16
PROPCTRL_TXT_000504,Azria Tree 17,Azria Baum 17
PROPCTRL_TXT_000505,Azria Tree 18,Azria Baum 18
PROPCTRL_TXT_000506,Azria Tree 19,Azria Baum 19
PROPCTRL_TXT_000507,Azria Tree 20,Azria Baum 20
PROPCTRL_TXT_000508,Azria Tree 21,Azria Baum 21
PROPCTRL_TXT_000509,Azria Light 2,Azria Licht 2
PROPCTRL_TXT_000510,Azria Light 3,Azria Licht 3
PROPCTRL_TXT_000511,Azria Rock 2,Azria Felsen 2
PROPCTRL_TXT_000512,Azria Rock 3,Azria Felsen 3
PROPCTRL_TXT_000513,Azria Rock 4,Azria Felsen 4
PROPCTRL_TXT_000514,Azria Rock 5,Azria Felsen 5
PROPCTRL_TXT_000515,Azria Rock 6,Azria Felsen 6
PROPCTRL_TXT_000516,Azria Rock 7,Azria Felsen 7
PROPCTRL_TXT_000517,Azria Rock 8,Azria Felsen 8
PROPCTRL_TXT_000518,Azria Rock 9,Azria Felsen 9
PROPCTRL_TXT_000519,Azria Rock 10,Azria Felsen 10
PROPCTRL_TXT_000520,Azria Rock 11,Azria Felsen 11
PROPCTRL_TXT_000521,Azria Rock 12,Azria Felsen 12
PROPCTRL_TXT_000522,Azria Rock 13,Azria Felsen 13
PROPCTRL_TXT_000523,Azria Mushroom 2,Azria Pilz 2
PROPCTRL_TXT_000524,Azria Mushroom 3,Azria Pilz 3
PROPCTRL_TXT_000525,Azria Mushroom 4,Azria Pilz 4
PROPCTRL_TXT_000526,Azria Grass 2,Azria Gras 2
PROPCTRL_TXT_000527,Azria Grass 3,Azria Gras 3
PROPCTRL_TXT_000528,Azria Sign 2,Azria Schild 2
PROPCTRL_TXT_000529,Azria Sign 3,Azria Schild 3
PROPCTRL_TXT_000530,Azria Sign 4,Azria Schild 4
PROPCTRL_TXT_000531,Azria Box 2,Azria Kiste 2
PROPCTRL_TXT_000532,Coral Island Tree 2,Koralleninsel Baum 2
PROPCTRL_TXT_000533,Coral Island Shellfish 2,Koralleninsel Muschel 2
PROPCTRL_TXT_000534,Coral Island Shellfish 3,Koralleninsel Muschel 3
PROPCTRL_TXT_000535,Coral Island Shellfish 4,Koralleninsel Muschel 4
PROPCTRL_TXT_000536,Coral Island Shellfish 5,Koralleninsel Muschel 5
PROPCTRL_TXT_000537,Coral Island Shellfish 6,Koralleninsel Muschel 6
PROPCTRL_TXT_000538,Coral Island Shellfish 7,Koralleninsel Muschel 7
PROPCTRL_TXT_000539,Coral Island Shellfish 8,Koralleninsel Muschel 8
PROPCTRL_TXT_000540,Coral Island Shellfish 9,Koralleninsel Muschel 9
PROPCTRL_TXT_000541,Coral Island Coral 2,Koralleninsel Koralle 2
PROPCTRL_TXT_000542,Coral Island Coral 3,Koralleninsel Koralle 3
PROPCTRL_TXT_000543,Coral Island Coral 4,Koralleninsel Koralle 4
PROPCTRL_TXT_000544,Coral Island Coral 5,Koralleninsel Koralle 5
PROPCTRL_TXT_000545,Coral Island Coral 6,Koralleninsel Koralle 6
PROPCTRL_TXT_000546,Coral Island Coral 7,Koralleninsel Koralle 7
PROPCTRL_TXT_000547,Coral Island Coral 8,Koralleninsel Koralle 8
PROPCTRL_TXT_000548,Coral Island Coral 9,Koralleninsel Koralle 9
PROPCTRL_TXT_000549,Coral Island Coral 10,Koralleninsel Koralle 10
PROPCTRL_TXT_000550,Coral Island Coral 11,Koralleninsel Koralle 11
PROPCTRL_TXT_000551,Coral Island Coral 12,Koralleninsel Koralle 12
PROPCTRL_TXT_000552,Coral Island Starfish 2,Koralleninsel Seestern 2
PROPCTRL_TXT_000553,Coral Island Starfish 3,Koralleninsel Seestern 3
PROPCTRL_TXT_000554,Coral Island Table 2,Koralleninsel Tisch 2
PROPCTRL_TXT_000555,Flaris Pot 2,Flaris Topf 2
PROPCTRL_TXT_000556,Flaris Fence 2,Flaris Zaun 2
PROPCTRL_TXT_000557,Flaris Fence 3,Flaris Zaun 3
PROPCTRL_TXT_000558,Flaris Fence 4,Flaris Zaun 4
PROPCTRL_TXT_000559,Flaris Fence 5,Flaris Zaun 5
PROPCTRL_TXT_000560,Flaris Fence 6,Flaris Zaun 6
PROPCTRL_TXT_000561,1st Anniversary Flaris Cake,1. Jubiläum Flaris Kuchen
PROPCTRL_TXT_000562,1st Anniversary Saint Morning Cake,1. Jubiläums Saint Morning Kuchen
PROPCTRL_TXT_000563,1st Anniversary Darkon Cake,1. Jubiläums Darkon Kuchen
PROPCTRL_TXT_000564,2nd Anniversary Flaris Cake,2. Jubiläums Flaris Kuchen
PROPCTRL_TXT_000565,2nd Anniversary Saint Morning Cake,2. Jubiläums Saint Morning Kuchen
PROPCTRL_TXT_000566,2nd Anniversary Darkon Cake,2. Jubiläums Darkon Kuchen
PROPCTRL_TXT_000567,2nd Anniversary Presents 1,2. Jubiläums Geschenke 1
PROPCTRL_TXT_000568,2nd Anniversary Presents 2,2. Jubiläums Geschenke 2
PROPCTRL_TXT_000569,2nd Anniversary Arch 1,2. Jubiläums Bogen 1
PROPCTRL_TXT_000570,Luxury Chandelier,Luxus Kronleuchter
PROPCTRL_TXT_000571,Luxury Table,Luxus-Tisch
PROPCTRL_TXT_000572,Luxury Dressing Table,Luxus Frisiertisch
PROPCTRL_TXT_000573,Luxury Wardrobe,Luxus Kleiderschrank
PROPCTRL_TXT_000574,Luxury Bookcase,Luxus Bücherregal
PROPCTRL_TXT_000575,Luxury Sofa,Luxus Sofa
PROPCTRL_TXT_000576,Luxury Armchair,Luxus Sessel
PROPCTRL_TXT_000577,Luxury Chair,Luxus Stuhl
PROPCTRL_TXT_000578,Luxury Bed,Luxus Bett
PROPCTRL_TXT_000579,Ordinary Herb,Kraut
PROPCTRL_TXT_000580,Regular Herb,Übliches Kraut
PROPCTRL_TXT_000581,Unique Herb,Besonderes Kraut
PROPCTRL_TXT_000582,Rare Herb,Seltenes Kraut
PROPCTRL_TXT_000583,Legendary Herb,Legendäres Kraut
PROPCTRL_TXT_000584,Ordinary Tree,Baum
PROPCTRL_TXT_000585,Regular Tree,Üblicher Baum
PROPCTRL_TXT_000586,Unique Tree,Besonderer Baum
PROPCTRL_TXT_000587,Rare Tree,Seltener Baum
PROPCTRL_TXT_000588,Legendary Tree,Uralter Baum
PROPCTRL_TXT_000589,Ordinary Ore,Erz
PROPCTRL_TXT_000590,Regular Ore,Übliches Erz
PROPCTRL_TXT_000591,Unique Ore,Besonderes Erz
PROPCTRL_TXT_000592,Rare Ore,Seltenes Erz
PROPCTRL_TXT_000593,Legendary Ore,Legendäres Erz
PROPCTRL_TXT_000594,Alchemy Desk,Alchemie-Tisch
PROPCTRL_TXT_000595,Hearth,Herd
PROPCTRL_TXT_000596,Carpentry Workspace,Schreinerei Arbeitsplatz
PROPCTRL_TXT_000597,Smithing Workspace,Schmiede Arbeitsplatz
PROPCTRL_TXT_000598,Halloween Pumpkin,Halloween Kürbis
PROPCTRL_TXT_000599,Message Sign,Nachrichtenschild
PROPCTRL_TXT_000600,Medieval Bed,Mittelalterliches Bett
PROPCTRL_TXT_000601,Medieval Sofa,Mittelalterliches Sofa
PROPCTRL_TXT_000602,Medieval Armchair,Mittelalterlicher Sessel
PROPCTRL_TXT_000603,Medieval Bookcase,Mittelalterliches Bücherregal
PROPCTRL_TXT_000604,Medieval Wardrobe,Mittelalterlicher Kleiderschrank
PROPCTRL_TXT_000605,Medieval Table,Mittelalterlicher Tisch
PROPCTRL_TXT_000606,Medieval Chair,Mittelalterlicher Stuhl
PROPCTRL_TXT_000607,Medieval Floor Lamp,Mittelalterliche Stehlampe
PROPCTRL_TXT_000608,Medieval Drawer,Mittelalterliche Kommode
PROPCTRL_TXT_000609,Halloween 2024 Bed,Halloween 2024 Bett
PROPCTRL_TXT_000610,Halloween 2024 Sofa,Halloween 2024 Sofa
PROPCTRL_TXT_000611,Halloween 2024 Armchair,Halloween 2024 Sessel
PROPCTRL_TXT_000612,Halloween 2024 Bookcase,Halloween 2024 Bücherregal
PROPCTRL_TXT_000613,Halloween 2024 Wardrobe,Halloween 2024 Kleiderschrank
PROPCTRL_TXT_000614,Halloween 2024 Table,Halloween 2024 Tisch
PROPCTRL_TXT_000615,Halloween 2024 Chair,Halloween 2024 Stuhl
PROPCTRL_TXT_000616,Halloween 2024 Lantern,Halloween 2024 Laterne
PROPCTRL_TXT_000617,Halloween 2024 Drawer,Halloween 2024 Kommode
PROPCTRL_TXT_000618,Flaris House 1,Flaris Haus 1
PROPCTRL_TXT_000619,Flaris House 2,Flaris Haus 2
PROPCTRL_TXT_000620,Flaris House 3,Flaris Haus 3
PROPCTRL_TXT_000621,Flaris House 4,Flaris Haus 4
PROPCTRL_TXT_000622,Flaris House 5,Flaris Haus 5
PROPCTRL_TXT_000623,Flaris House 6,Flaris Haus 6
PROPCTRL_TXT_000624,Flaris House 7,Flaris Haus 7
PROPCTRL_TXT_000625,Flaris House 8,Flaris Haus 8
PROPCTRL_TXT_000626,Flaris House 9,Flaris Haus 9
PROPCTRL_TXT_000627,Flaris House 10,Flaris Haus 10
PROPCTRL_TXT_000628,Saint Morning House 1,Saint Morning Haus 1
PROPCTRL_TXT_000629,Saint Morning House 2,Saint Morning Haus 2
PROPCTRL_TXT_000630,Saint Morning House 3,Saint Morning Haus 3
PROPCTRL_TXT_000631,Saint Morning House 4,Saint Morning Haus 4
PROPCTRL_TXT_000632,Saint Morning House 5,Saint Morning Haus 5
PROPCTRL_TXT_000633,Saint Morning House 6,Saint Morning Haus 6
PROPCTRL_TXT_000634,Saint Morning House 7,Saint Morning Haus 7
PROPCTRL_TXT_000635,Saint Morning House 8,Saint Morning Haus 8
PROPCTRL_TXT_000636,Saint Morning House 9,Saint Morning Haus 9
PROPCTRL_TXT_000637,Saint Morning House 10,Saint Morning Haus 10
PROPCTRL_TXT_000638,Saint Morning House 11,Saint Morning Haus 11
PROPCTRL_TXT_000639,Pumpkin Town House 1,Pumpkin Town Haus 1
PROPCTRL_TXT_000640,Pumpkin Town House 2,Pumpkin Town Haus 2
PROPCTRL_TXT_000641,Pumpkin Town House 3,Pumpkin Town Haus 3
PROPCTRL_TXT_000642,Darkon House 1,Darkon Haus 1
PROPCTRL_TXT_000643,Darkon House 2,Darkon Haus 2
PROPCTRL_TXT_000644,Darkon House 3,Darkon Haus 3
PROPCTRL_TXT_000645,Darkon House 4,Darkon Haus 4
PROPCTRL_TXT_000646,Darkon House 5,Darkon Haus 5
PROPCTRL_TXT_000647,Azria House 1,Azria Haus 1
PROPCTRL_TXT_000648,Azria House 2,Azria Haus 2
PROPCTRL_TXT_000649,Azria House 3,Azria Haus 3
PROPCTRL_TXT_000650,Azria House 4,Azria Haus 4
PROPCTRL_TXT_000651,Flaris Street Lamp,Flaris Straßenlaterne
PROPCTRL_TXT_000652,Flaris Tent 1,Flaris Zelt 1
PROPCTRL_TXT_000653,Madrigal Floating Sign 1,Madrigal Schwebeschild 1
PROPCTRL_TXT_000654,Madrigal Floating Sign 2,Madrigal Schwebeschild 2
PROPCTRL_TXT_000655,Madrigal No-fly Sign,Madrigal Flugverbotsschild
PROPCTRL_TXT_000656,Madrigal Floating Ring,Madrigal Schwebering
PROPCTRL_TXT_000657,Flaris Box and cover,Flaris Kiste mit Deckel
PROPCTRL_TXT_000658,Magic Crystal Object,Magisches Kristallobjekt
PROPCTRL_TXT_000659,Flaris Tent 2,Flaris Zelt 2
PROPCTRL_TXT_000662,Flaris Carriage,Flaris Kutsche
PROPCTRL_TXT_000663,Flaris Torch,Flaris Fackel
PROPCTRL_TXT_000664,Flaris Floating Island,Flaris Schwebende Insel
PROPCTRL_TXT_000665,Saint Morning Lighthouse,Saint Morning Leuchtturm
PROPCTRL_TXT_000666,Saint Morning Crane,Saint Morning Kran
PROPCTRL_TXT_000667,Saint Morning Campfire,Saint Morning Lagerfeuer
PROPCTRL_TXT_000668,Saint Morning Palm Tree,Saint Morning Palmenbaum
PROPCTRL_TXT_000669,Saint Morning Pumpkin Fence,Saint Morning Kürbiszaun
PROPCTRL_TXT_000670,Saint Morning Scarecrow,Saint Morning Vogelscheuche
PROPCTRL_TXT_000672,Saint Morning Cactus 1,Saint Morning Kaktus 1
PROPCTRL_TXT_000673,Saint Morning Cactus 2,Saint Morning Kaktus 2
PROPCTRL_TXT_000674,Saint Morning Cactus 3,Saint Morning Kaktus 3
PROPCTRL_TXT_000675,Rhisis Stone Pillar 1,Rhisis Steinsäule 1
PROPCTRL_TXT_000676,Rhisis Stone Pillar 2,Rhisis Steinsäule 2
PROPCTRL_TXT_000677,Rhisis Broken Temple,Rhisis Zerbrochener Tempel
PROPCTRL_TXT_000678,Darkon Steel Frame 1,Darkon Stahlrahmen 1
PROPCTRL_TXT_000679,Darkon Steel Frame 2,Darkon Stahlrahmen 2
PROPCTRL_TXT_000680,Darkon Structure,Darkon Konstruktion
PROPCTRL_TXT_000681,Darkon Water Tank,Darkon Wassertank
PROPCTRL_TXT_000682,Darkon Large crane,Darkon Großer Kran
PROPCTRL_TXT_000683,Darkon Dirt pile,Darkon Erdhaufen
PROPCTRL_TXT_000684,Darkon Shack,Darkon Hütte
PROPCTRL_TXT_000685,Darkon Market,Darkon Markt
PROPCTRL_TXT_000686,Darkon Tree Bark,Darkon Baumrinde
PROPCTRL_TXT_000687,Darkon Fossil,Darkon Fossil
PROPCTRL_TXT_000688,Darkon Large Fossil,Darkon Großes Fossil
PROPCTRL_TXT_000689,Guardiane Structure,Guardiane Konstruktion
PROPCTRL_TXT_000690,Guardiane Platform,Guardiane Plattform
PROPCTRL_TXT_000691,Azria Ground Window,Azria Bodensfenster
PROPCTRL_TXT_000692,Azria Large Crane,Azria Großer Kran
PROPCTRL_TXT_000693,Azria Water Tank,Azria Wassertank
PROPCTRL_TXT_000694,Azria Arch,Azria Bogen
PROPCTRL_TXT_000695,Azria Stone Pile,Azria Steinhaufen
PROPCTRL_TXT_000696,Azria Stone Pillar,Azria Steinsäule
PROPCTRL_TXT_000697,Azria Stone Tower,Azria Steinturm
PROPCTRL_TXT_000698,Coral Island Wrecked Ship Part,Koralleninsel Wrackteil
PROPCTRL_TXT_000699,Coral Island Wrecked Ship,Koralleninsel Gesunkenes Schiff
PROPCTRL_TXT_000700,Coral Island Sea Weed 1,Koralleninsel Seegras 1
PROPCTRL_TXT_000701,Coral Island Sea Weed 2,Koralleninsel Seegras 2
PROPCTRL_TXT_000702,Coral Island Sea Weed 3,Koralleninsel Seegras 3
PROPCTRL_TXT_000703,Coral Island Coral Platform,Koralleninsel Korallenplattform
PROPCTRL_TXT_000704,Coral Island Coral 13,Koralleninsel Koralle 13
PROPCTRL_TXT_000705,Coral Island Coral 14,Koralleninsel Koralle 14
PROPCTRL_TXT_000706,Coral Island Coral 15,Koralleninsel Koralle 15
PROPCTRL_TXT_000707,Coral Island Coral 16,Koralleninsel Koralle 16
PROPCTRL_TXT_000708,Coral Island Campfire,Koralleninsel Lagerfeuer
PROPCTRL_TXT_000709,Saint Morning Wall Pillar,Saint Morning Wandpfeiler
PROPCTRL_TXT_000710,Neon Valentines Black Lamp,Neon Valentines Schwarze Lampe
PROPCTRL_TXT_000711,Neon Valentines Black Desk,Neon Valentines Schwarzer Schreibtisch
PROPCTRL_TXT_000712,Neon Valentines Black Drawer,Neon Valentines Schwarze Schublade
PROPCTRL_TXT_000713,Neon Valentines Black Dresser,Neon Valentines Schwarzer Schrank
PROPCTRL_TXT_000714,Neon Valentines Black Bookshelf,Neon Valentines Schwarzes Bücherregal
PROPCTRL_TXT_000715,Neon Valentines Black Chair,Neon Valentines Schwarzer Stuhl
PROPCTRL_TXT_000716,Neon Valentines Black Bath,Neon Valentines Schwarze Badewanne
PROPCTRL_TXT_000717,Neon Valentines Black Bed,Neon Valentines Schwarzes Bett
PROPCTRL_TXT_000718,Neon Valentines Black Sofa,Neon Valentines Schwarzes Sofa
PROPCTRL_TXT_000719,Neon Valentines White Lamp,Neon Valentines Weiße Lampe
PROPCTRL_TXT_000720,Neon Valentines White Desk,Neon Valentines Weißer Schreibtisch
PROPCTRL_TXT_000721,Neon Valentines White Drawer,Neon Valentines Weiße Schublade
PROPCTRL_TXT_000722,Neon Valentines White Dresser,Neon Valentines Weißer Schrank
PROPCTRL_TXT_000723,Neon Valentines White Bookshelf,Neon Valentines Weißes Bücherregal
PROPCTRL_TXT_000724,Neon Valentines White Chair,Neon Valentines Weißer Stuhl
PROPCTRL_TXT_000725,Neon Valentines White Bath,Neon Valentines Weiße Badewanne
PROPCTRL_TXT_000726,Neon Valentines White Bed,Neon Valentines Weißes Bett
PROPCTRL_TXT_000727,Neon Valentines White Sofa,Neon Valentines Weißes Sofa
PROPCTRL_TXT_000728,Pastel Bed,Pastellbett
PROPCTRL_TXT_000729,Pastel Sofa,Pastellsofa
PROPCTRL_TXT_000730,Pastel Stool,Pastellhocker
PROPCTRL_TXT_000731,Pastel Bookshelf,Pastellbücherregal
PROPCTRL_TXT_000732,Pastel Lamp,Pastelllampe
PROPCTRL_TXT_000733,Pastel Desk,Pastellschreibtisch
PROPCTRL_TXT_000734,Pastel Chair,Pastellstuhl
PROPCTRL_TXT_000735,Pastel Nightstand,Pastellnachtisch
PROPCTRL_TXT_000736,Pastel Bathtub,Pastellbadewanne
PROPCTRL_TXT_000737,[Event] Chroma Ore,[Event] Chroma Erz
PROPCTRL_TXT_000738,Statue Base,Statuenbasis
PROPCTRL_TXT_000739,3rd Anniversary Flaris Cake,3. Jubiläum Flaris Kuchen
PROPCTRL_TXT_000740,3rd Anniversary Saint Morning Cake,3. Jubiläum Saint Morning Kuchen
PROPCTRL_TXT_000741,3rd Anniversary Darkon Cake,3. Jubiläum Darkon Kuchen
PROPCTRL_TXT_000742,Dungeon Warp 07,Dungeon Warp 07
